1-Oct-2022-BF,1-Oct-2022-LN,1-Oct-2022-DN,2-Oct-2022-BF,2-Oct-2022-LN,2-Oct-2022-DN,3-Oct-2022-BF,3-Oct-2022-LN,3-Oct-2022-DN,4-Oct-2022-BF,4-Oct-2022-LN,4-Oct-2022-DN,5-Oct-2022-BF,5-Oct-2022-LN,5-Oct-2022-DN,6-Oct-2022-BF,6-Oct-2022-LN,6-Oct-2022-DN,7-Oct-2022-BF,7-Oct-2022-LN,7-Oct-2022-DN,8-Oct-2022-BF,8-Oct-2022-LN,8-Oct-2022-DN,9-Oct-2022-BF,9-Oct-2022-LN,9-Oct-2022-DN,10-Oct-2022-BF,10-Oct-2022-LN,10-Oct-2022-DN,11-Oct-2022-BF,11-Oct-2022-LN,11-Oct-2022-DN,12-Oct-2022-BF,12-Oct-2022-LN,12-Oct-2022-DN,13-Oct-2022-BF,13-Oct-2022-LN,13-Oct-2022-DN,14-Oct-2022-BF,14-Oct-2022-LN,14-Oct-2022-DN,15-Oct-2022-BF,15-Oct-2022-LN,15-Oct-2022-DN,16-Oct-2022-BF,16-Oct-2022-LN,16-Oct-2022-DN,17-Oct-2022-BF,17-Oct-2022-LN,17-Oct-2022-DN,18-Oct-2022-BF,18-Oct-2022-LN,18-Oct-2022-DN,19-Oct-2022-BF,19-Oct-2022-LN,19-Oct-2022-DN,20-Oct-2022-BF,20-Oct-2022-LN,20-Oct-2022-DN,21-Oct-2022-BF,21-Oct-2022-LN,21-Oct-2022-DN,22-Oct-2022-BF,22-Oct-2022-LN,22-Oct-2022-DN,23-Oct-2022-BF,23-Oct-2022-LN,23-Oct-2022-DN,24-Oct-2022-BF,24-Oct-2022-LN,24-Oct-2022-DN,25-Oct-2022-BF,25-Oct-2022-LN,25-Oct-2022-DN,26-Oct-2022-BF,26-Oct-2022-LN,26-Oct-2022-DN,27-Oct-2022-BF,27-Oct-2022-LN,27-Oct-2022-DN,28-Oct-2022-BF,28-Oct-2022-LN,28-Oct-2022-DN,29-Oct-2022-BF,29-Oct-2022-LN,29-Oct-2022-DN,30-Oct-2022-BF,30-Oct-2022-LN,30-Oct-2022-DN,31-Oct-2022-BF,31-Oct-2022-LN,31-Oct-2022-DN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1
,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
